,Two norm,Sup Norm,Interior Two Norm,Interior Sup Norm
W,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0
logXiE,12.182831681508553,0.2831603408490473,5.6195809804132955,0.05575103938504267
logXiH,1.0591846441427744,0.012939188593556139,0.856563254940085,0.004203546034869277
XiE,0.03199430070126249,0.0013939115595923545,0.004730629339417883,0.00010046577513106816
XiH,2.303184077354174e-06,2.4456436313285178e-08,1.8924797345944732e-06,1.4736055511672349e-08
kappa,6.139098242318156,0.36925715068003984,0.021500073279517928,0.0014682332099303919
q,0.08007519446501668,0.004816397617565693,0.0002804357384283221,1.9150867955453066e-05
chi,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.03071200565219153,0.0028964317120900376,0.00021195834005895768,8.162326310859336e-06
sigmaR_second_shock,0.00012727489768977115,4.568516748660777e-06,1.0836267039585276e-05,3.6171789989336257e-07
sigmaR_third_shock,0.01624084570215282,0.0009672772379274389,0.0002484536072743933,7.652665507765958e-06
PiH_first_shock,1.7956127170160083,0.08875761065389298,0.25578667067590327,0.005959671243912723
PiH_second_shock,0.2461176844636816,0.0026792226100849637,0.1765163245160999,0.002177861049629193
PiH_third_shock,0.19419498707975738,0.0043073789881665075,0.13307102367323814,0.0043073789881665075
PiE_first_shock,3.536132943307721,0.20868143008863743,0.3183287358907946,0.008170704993087835
PiE_second_shock,0.06534752220655272,0.0007626849475615982,0.04772226289293955,0.0005030058537663362
PiE_third_shock,0.08740300617011003,0.005773534566668608,0.012974225985854324,0.00035238301664357514
r,2.2209146881220128,0.1303688462593881,0.03294364064468112,0.0018558183117762805
dent,7.912701390507302e-06,1.5362595025547598e-06,1.5362291995369584e-08,4.682732095673824e-09
HJB_E,1.075082407046658,0.07340297899853648,0.17898560637101785,0.0042704040311765355
HJB_H,0.44468622114846995,0.02130361535115675,0.12360405230895986,0.004248386751040185
kappa_min,0.07928137534192659,0.0020235055521950346,0.009822149393094646,0.00014080513863457076
