,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.458837145594462
5,logXiH,9.810771405018707
6,XiE,1.4877945472142318
7,XiH,0.3383888773157629
8,kappa,0.4540560635673467
9,q,0.9357699618681934
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.336942567903323
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.49969994868434403
17,sigmaW,0.5801013190325325
18,sigmaQ,1.436597840196855
19,sigmaR,1.436597840196855
20,deltaE,9.135362145921821
21,deltaH,4.573971072440369
22,PiH,18.768246953607818
23,PiE,13.85593132544786
24,betaE,12.270844696203234
25,betaH,0.6549990886241567
26,muW,3.7953940959306833
27,muQ,16.46440514475771
28,r,13.067253430149508
29,dent,0.0019141466406747737
30,Fe,54.71809975268744
31,firstCoefsE,3.795394095930683
32,secondCoefsE,0.08723217081206452
33,Fh,25.321282960011363
34,firstCoefsH,3.543898662472668
35,secondCoefsH,0.08723217081206452
36,HJB_E,31.650465621255254
37,HJB_H,10.958287390135247
38,kappa_min,0.4210027905561791
