,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,7.17618454336914,0.18619901549104512,1.7280734111066978,2.5213557564245344,0.0348252888546039,0.2984597518756582
logXiH,16.512857558376776,0.07177142622607136,0.36307631142212743,13.835071692190699,0.06919359840052053,0.34903988335060415
XiE,0.00012061467337717671,5.459430875783911e-06,16.989162588397317,1.897252370190744e-05,4.751619055719178e-07,3.4225866976237933
XiH,3.5067408303439716e-08,3.282248614059697e-10,6.925638492008466,2.8346318660844527e-08,2.786408204761083e-10,6.685399298465208
kappa,0.48507160651433523,0.05400733439786065,23.475610424825945,0.04881127712059539,0.002158128534506587,0.8482183685419108
q,0.12654041909069638,0.014088869842920237,1.3291199509510105,0.012733376640155327,0.0005629900524799503,0.05224673365848476
chi,0.0,0.0,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.3022094858454297,0.04153728590195416,35.16096754415258,0.0014502926822517795,0.00010711945050476818,0.2367607811223986
sigmaR_second_shock,0.0015820059550867341,0.0001387377229329078,inf,0.00017157555125181544,3.7266049279255967e-06,inf
sigmaR_third_shock,0.47114608264705976,0.015357437909510982,inf,0.10108058505659753,0.0031208581236337966,86.79286742862386
PiH_first_shock,1.0313231516926253,0.1273253657041415,109.05168449330264,0.1010195213164262,0.0019191808929081844,11.83164295090732
PiH_second_shock,0.46461503144420224,0.00373601307052035,4.000978552482526,0.3757203256492984,0.0034315660691199984,3.674939547553936
PiH_third_shock,0.9546484843311659,0.030665297840191764,2549.7919062969113,0.7214221706196831,0.030634639665870163,263.4357332137521
PiE_first_shock,3.4781655947903185,0.4275482828088457,35.80386137042645,0.020812070465273873,0.0017429502849233003,1.0829375140603572
PiE_second_shock,0.010843492281915884,0.0009557366832054023,inf,0.00033188427753783273,7.911065125283034e-06,inf
PiE_third_shock,1.4556944534395122,0.055105307258572524,inf,0.21736007274878616,0.007420038699720726,86.90791871233884
r,81.18016782633055,3.9968513519565905,128151.64811048403,3.635510539164467,0.11409258275831347,3849.432607329301
dent,0.0006140760396320599,0.00012692231271567087,667.3048607304235,1.2521482292777353e-11,3.0348058928410104e-12,82.98660377155672
HJB_E,2.9284518116188645,0.24685040737817354,inf,0.31518257185028964,0.010029780232224833,inf
HJB_H,13.098295507457546,1.3081110280370576,inf,1.414351878344368,0.048481998380425585,inf
kappa_min,0.07163903860665612,0.008805804415870729,inf,0.011225608737861817,0.00022456842022338178,inf
