,Two norm,Sup Norm,Interior Two Norm,Interior Sup Norm
W,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0
logXiE,8.792443107884248,0.0961255373003258,6.52672680972913,0.046650012308283806
logXiH,3.0508573949830287,0.06258628749928974,1.7255793214623518,0.015300242889919602
XiE,4.619811007423102e-05,8.315918367609899e-07,3.220995005718253e-05,3.360899278453656e-07
XiH,3.13664862910616e-06,9.360895699226514e-08,1.5931147857490247e-06,2.2258518350187203e-08
kappa,0.7120740592452035,0.06547637610181833,0.07038558264707385,0.0027535509278335812
q,0.18575845023787974,0.017080793765691826,0.01836145634271539,0.0007183176333478425
chi,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.368763798767101,0.047502838234323094,0.0009799363238460973,3.799533060287741e-05
sigmaR_second_shock,0.03173081180256873,0.00273175206416543,0.002169861343406077,5.657922658799798e-05
sigmaR_third_shock,0.75102437383765,0.035141430400700197,0.16650018268860456,0.005072039835607856
PiH_first_shock,0.17537086097460358,0.013784050171206257,0.010044128471115922,0.00046595044406054845
PiH_second_shock,0.010679181151966423,0.0007833253480917944,0.0013820890990334522,3.6855173161356136e-05
PiH_third_shock,0.3137732278035936,0.012771085090389036,0.10384852094676666,0.003119910500112861
PiE_first_shock,3.7236693113356054,0.5128106999817476,0.012155994002805929,0.0007386692529670891
PiE_second_shock,0.2328582237828077,0.01826206657973642,0.0032540485025201495,8.928420889757751e-05
PiE_third_shock,1.5824562488065281,0.06589097816123338,0.25528191286552365,0.007590044430699914
r,104.64648692924902,5.327980223618564,6.438874368193829,0.21479581780704782
dent,0.009829935981347767,0.002060838826281379,0.00982988539250134,0.002060838826281379
HJB_E,33.762490228245476,3.9237302252255475,1.5249377855354191,0.06567184278768266
HJB_H,9.949330481411794,0.997102109515695,0.9183025195870557,0.030429615435043068
kappa_min,0.0931369329995653,0.00971555770531128,0.015936819981862377,0.0002946206699313463
