,Two norm,Sup Norm,Interior Two Norm,Interior Sup Norm
W,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0
logXiE,6.501097056520348,0.1902021008487904,1.4485574827117154,0.029475166155522814
logXiH,0.5011291835628092,0.01409156128385547,0.22858598904989869,0.00398163910942273
XiE,0.20579746936605844,0.007517280461772115,0.022550599542240497,0.0005829205285293529
XiH,0.0019634126514082193,6.047032780873932e-05,0.0008686200397743603,1.4978675714596816e-05
kappa,1.0072578981662945,0.09578019954296224,0.047273702105037944,0.002132833820784885
q,0.15818976222592604,0.006046442607196001,0.052246356809855676,0.001149597748159814
chi,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.36101937278847923,0.03565223155436115,0.007758651848306652,0.0002799071990328278
sigmaR_second_shock,0.05490606457205566,0.004719211245776617,0.021229968411378954,0.00026497060917612253
sigmaR_third_shock,0.15675679988762456,0.0056022041831316725,0.043717184932553256,0.0015875827372564873
PiH_first_shock,0.41033949458726654,0.04695229881780702,0.039023457122008366,0.0012835500411298023
PiH_second_shock,0.17249254140829257,0.0066323511741798805,0.12470734358403618,0.0013574338157048317
PiH_third_shock,0.39099394282474426,0.011100569068654982,0.24943507802187392,0.010996103418048589
PiE_first_shock,7.742320923694448,1.1793554141495923,0.02241983945500782,0.0011095180968735407
PiE_second_shock,1.017513257014649,0.15940559233699414,0.038480793804744035,0.0008759493329378518
PiE_third_shock,0.4767411130571812,0.030358532556491683,0.10585239940943098,0.0048776349605946685
r,29.984008130440653,1.7784712376885643,1.3915253112727204,0.05972123546206051
dent,0.0003603897263608976,6.069938348026056e-05,3.2424699623688793e-11,8.690475745756198e-12
HJB_E,8.19477826966291,1.5004463856935006,0.4768438359775707,0.020690270603366322
HJB_H,5.892893372627699,0.5292207801526996,0.6433170533059974,0.02231539578880318
kappa_min,0.07568344003298538,0.006753205278334783,0.016153375069643514,0.0004392253628051797
