,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.944264394561303
5,logXiH,21.62302340907375
6,XiE,0.0001406106540849708
7,XiH,4.462395195670196e-08
8,kappa,0.5117599086638661
9,q,0.13350258486883493
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.04025456237560458
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.0
17,sigmaW,0.3410905314101708
18,sigmaQ,0.5708211307689018
19,sigmaR,0.5708211307689018
20,deltaE,2.3394916625855178
21,deltaH,2.340880611556402
22,PiH,1.7099240951049661
23,PiE,3.9421566631664566
24,betaE,31.989701335260374
25,betaH,1.250984957530432
26,muW,0.40968291251592076
27,muQ,70.94853789413838
28,r,71.11276109493016
29,dent,0.00188109844396964
30,Fe,71.57740625826843
31,firstCoefsE,0.4096829125159209
32,secondCoefsE,0.02442177573919685
33,Fh,71.16484228727283
34,firstCoefsH,0.3790311332846323
35,secondCoefsH,0.02442177573919685
36,HJB_E,8.550048816952826
37,HJB_H,23.931830284786226
38,kappa_min,0.10257249285757288
