,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,7.332818287471176,0.19167715207644065,1.7766906846541741,2.8929352091566654,0.03578906489759959,0.313916104023871
logXiH,71.65648160270854,0.2649350120630878,1.3356363136101355,59.464137741463375,0.2626788862432079,1.32420975090217
XiE,0.0001062433804815621,4.71254934798434e-06,17.44266398837067,1.9349868856012792e-05,4.817755360367921e-07,3.5156208556114428
XiH,1.7081485615645293e-07,1.3952172849621088e-09,23.274418927211254,1.3816248926207566e-07,1.2284602148507795e-09,23.101120945190466
kappa,2.9839184824664766,0.1694451138240946,38.65139677167711,0.028302481837545287,0.0012090509276959926,0.6582850753938272
q,0.38920675858258424,0.022101536585751314,1.8255741208375809,0.0036916280657667503,0.00015770229491707255,0.01366107770412023
chi,0.0,0.0,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.2514895652568026,0.01701877504613812,38.35746729586057,0.00032449233524002184,1.560339219600082e-05,0.037124994049940255
sigmaR_second_shock,0.0007344211747305261,4.230633687977209e-05,inf,0.00016904743367724022,3.702662629257369e-06,inf
sigmaR_third_shock,0.29363250905147315,0.013997016865646472,340.8550118311083,0.031031128975312204,0.0008461952081317788,31.725709235182347
PiH_first_shock,1.4608117995225842,0.17958956794471576,78.85545137649267,0.1480638826602283,0.002882630781719603,2.2525574602888674
PiH_second_shock,0.47214664148371516,0.00857911559416713,9.18756354592893,0.3383300836475657,0.0042585833487185365,4.560610539046221
PiH_third_shock,1.2105190979611347,0.0357296856385058,366.09729055880064,0.9699918112047934,0.035648365365538046,222.62447022562606
PiE_first_shock,6.388625776896779,0.5629975495524463,55.1529218978848,0.008669209427202606,0.0008675156306474918,0.6756624170249085
PiE_second_shock,0.005713136135306271,0.00039050395128180544,inf,0.0003264267430955533,1.135523904561207e-05,inf
PiE_third_shock,0.8774492039405144,0.043071439760878995,348.9575691518028,0.058144212345746765,0.0017174978669497682,31.737918050154256
r,63.8158261904355,3.8030093903555375,32105887.99707872,1.0409856446342856,0.02988398951508038,14491.678251443303
dent,0.0014567320451976536,0.00030642299804352346,668.5944196506383,8.291394325165377e-11,2.3205783847668447e-11,99.4501400732791
HJB_E,8.250332045387598,0.4287816804360396,inf,0.4369365661885432,0.013735978450325724,inf
HJB_H,51.74248289704929,2.5847622285999328,inf,5.149565655550595,0.2830126557222918,inf
kappa_min,0.08684737989101793,0.005598070563553604,inf,0.010945309128429748,0.00018205963603826897,inf
