,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,12.695734317255218,0.27955727810567943,9.854817555856329,6.407784076724091,0.057211141375574925,1.4010588577675367
logXiH,19.27584553691613,0.307858113712129,6.306336135311441,13.408732857561061,0.0833389986466182,1.3437983929449733
XiE,0.3719837163318323,0.015168473845806989,24.388158245581103,0.05891052925259056,0.0011176434523528615,5.560535247080127
XiH,0.04703570613600204,0.002009586266924471,26.498040018665534,0.012303942404748101,0.00018033630351244924,7.996079769575694
kappa,0.40647535125674006,0.054559051937759395,13.104719084760195,0.015929125154108853,0.0009177950071380114,0.18634990936867776
q,0.05301852407696615,0.0071163980788380155,0.6006722882316908,0.0020777119766230622,0.00011971239223540486,0.010020495024155415
chi,0.5321930181216515,0.06012001534336786,10.55272084254941,0.0,0.0,0.0
sigmaR_first_shock,0.2543003795238545,0.03343543106353096,37.62281941773468,0.000741322553782752,1.9479325890442434e-05,0.04376551388978974
sigmaR_second_shock,0.0015486938754130154,0.00020754354885436837,inf,3.4965096625815654e-05,9.679859188803373e-07,inf
sigmaR_third_shock,0.16772438146383872,0.010010809785083726,inf,0.036372838880794275,0.0016240421952777365,inf
PiH_first_shock,16.401130996347078,0.5104734472842505,36.56118723200833,0.649076860197856,0.019816801024312047,2.601113529450168
PiH_second_shock,0.3940121927709481,0.006740402801541451,7.218445556165393,0.264764699735629,0.005219388060421368,5.589557425449122
PiH_third_shock,0.3412376427264506,0.016070155327312242,29022.63079282976,0.21670618460222021,0.014056949249167873,1999.1394075817316
PiE_first_shock,3.561971425149033,0.49363139562320524,44.5503841804729,0.0041108788583470186,0.0004237796315539888,0.2300338662630001
PiE_second_shock,0.021163976508850574,0.0026866049276603496,inf,7.845892851134665e-05,3.264179002342977e-06,inf
PiE_third_shock,0.7725903999522633,0.05352162964771494,inf,0.06962638834393467,0.003774096451712448,inf
r,43.32640293299937,4.733184498765057,23373.12003045945,1.4084702923280774,0.06676438851759268,23373.12003045945
dent,0.0004030134923623759,5.738668768285552e-05,130.77648427057946,0.00038992168508131806,5.738668768285552e-05,71.92675649789389
HJB_E,3.933338913405466,0.49309811540377035,inf,0.561875443353071,0.024942340616542987,inf
HJB_H,7.181198725976719,0.665939449937828,inf,0.9772440638317734,0.039517815758163335,inf
kappa_min,0.033967053915399274,0.0034282102444535,inf,0.0065605090072976616,0.0003539255937866255,inf
