,Two norm,Sup Norm,Interior Two Norm,Interior Sup Norm
W,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0
logXiE,8.12614811159142,0.19028416722674102,3.9581513741864676,0.0394325639269546
logXiH,34.33783696416688,0.19596221858544283,27.792492358510408,0.13832488827880596
XiE,0.00011126740877697668,5.0027962244265e-06,2.5529609644517593e-05,5.178213054894826e-07
XiH,9.567184104130505e-08,6.780575658687103e-10,7.640946681892265e-08,6.157660500650323e-10
kappa,2.188082194040594,0.15774273422816817,0.03755082821890802,0.0017899638598964929
q,0.28540202530964287,0.020575139247152263,0.00489793411550965,0.00023347354694291944
chi,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.17387281874097057,0.015921026716518794,0.0005806643633076716,5.5340364150044397e-05
sigmaR_second_shock,0.0036753657109944715,0.0002885910172812456,0.0003148136355953791,6.945335583484917e-06
sigmaR_third_shock,0.2897121638575326,0.013923187233430799,0.02535800717213257,0.0007022734799557286
PiH_first_shock,1.3933415690668687,0.17822976175538813,0.10504406854228449,0.001562989565023848
PiH_second_shock,0.9474733024969683,0.009164797585787837,0.7596384735348163,0.008497408786350219
PiH_third_shock,0.6693017129366853,0.022659776918253806,0.5416680765886582,0.02264740437634507
PiE_first_shock,6.407869067817307,0.7597744235995335,0.013091440263996992,0.001184040801819386
PiE_second_shock,0.03128558720089529,0.0025672835662645774,0.0006199610340262121,1.564629080891748e-05
PiE_third_shock,0.9051822530447544,0.04267671116159209,0.04774450598838316,0.0014936895232113131
r,95.12506650627215,6.554146391484297,0.8162011699956409,0.023801773351106045
dent,0.0012430248864022148,0.00026429210164314806,8.987240468594261e-11,2.49438726308014e-11
HJB_E,5.208607169345449,0.524503613978082,0.48224684071951723,0.01070254146738186
HJB_H,40.31437453199821,2.3737738371789923,1.9731714917339915,0.06396805891548249
kappa_min,0.07468168749202646,0.0051218516435415085,0.013535764424977495,0.00023758389659204668
