,Two norm,Sup Norm,Interior Two Norm,Interior Sup Norm
W,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0
logXiE,7.864327202084747,0.19515425474606474,3.6583416051559348,0.04400540219040572
logXiH,16.117991487465122,0.1190029868569411,12.455364874993517,0.07640120238093928
XiE,0.00010996870632718938,5.1668098626861134e-06,2.4341714857117944e-05,5.913682062925805e-07
XiH,4.315566358893474e-08,4.101889249209541e-10,3.312455186852193e-08,3.649965071525522e-10
kappa,2.63347888620549,0.17423347661864913,0.017164431548850466,0.00062516339243196
q,0.3434972460268032,0.02272610564591071,0.0022388388976761825,8.15430511869053e-05
chi,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.22011078708331255,0.01674677987505828,0.0003272252280233936,1.9556994019037655e-05
sigmaR_second_shock,0.0036903260703339976,0.00031356616231536323,7.618461226614118e-05,2.259834259569106e-06
sigmaR_third_shock,0.28075593288985,0.013643390279997983,0.028686901736144223,0.0007915426769912288
PiH_first_shock,1.4052301445210105,0.14870473630762088,0.1795153889831351,0.004283096331111777
PiH_second_shock,1.153804535541093,0.007912980855897547,0.9460690985043686,0.007261264404649498
PiH_third_shock,0.7406557779864688,0.019910874180287905,0.5211153053867701,0.01980884877163438
PiE_first_shock,6.38494322440777,0.5972954352920105,0.004164646159001737,0.0003989496088247779
PiE_second_shock,0.029151783063451748,0.0025417363016202225,0.00015910153163470678,5.207461315798783e-06
PiE_third_shock,0.8853485009480827,0.04191404917373777,0.0550706006045733,0.001695177120896483
r,96.73794841418257,7.191346599815179,0.9337918921587293,0.026720593209354382
dent,5.345612367084106e-05,1.1297381366896786e-05,1.3961722051860609e-11,4.083877062083972e-12
HJB_E,75.2056549179768,7.493806033196548,0.5891854927807291,0.02350918328938289
HJB_H,178.45477289989947,11.837081290177844,3.361094148262103,0.11089483082667416
kappa_min,0.05729241764499999,0.004592259251755326,0.007405169200198585,9.94737759890639e-05
