,Two norm,Sup Norm,Interior Two Norm,Interior Sup Norm
W,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0
logXiE,9.370042145179498,0.2648373544182545,1.8678931531030345,0.03640515152622381
logXiH,14.757743587822723,0.31649263537926253,3.5757272050554882,0.08270722510790662
XiE,2.506895285686803,0.10785863745642565,0.18505808215105918,0.005353222960299692
XiH,1.4642534481347342,0.0549011201702084,0.13592714022337832,0.0043524816707238775
kappa,2.6983705806275915,0.3898486172316441,0.012736800670314066,0.0011385386705735634
q,0.03519613800818497,0.0050849819638909555,0.00016613218265602197,1.4850504398866704e-05
chi,1.2161883888976235e-15,1.1102230246251565e-16,0.0,0.0
sigmaR_first_shock,0.009857620609200637,0.00133057885889213,5.769064468065693e-05,2.820602762097779e-06
sigmaR_second_shock,9.93192067199479e-05,9.873217841092897e-06,3.896145264784225e-06,1.7804128357976376e-07
sigmaR_third_shock,0.015180303908824657,0.0014170922552790611,0.001338781462727226,4.168098808761084e-05
PiH_first_shock,0.02410315984580006,0.0026029474751210133,0.00041453504805307747,2.4277148454820985e-05
PiH_second_shock,8.80921419670582e-05,8.818630323824817e-06,4.345035036386929e-06,1.6916951463156517e-07
PiH_third_shock,0.014688257687786019,0.0013418386571268928,0.0021983814139808744,9.892309642725251e-05
PiE_first_shock,1.3083530557510534,0.16800190606583332,0.0011280985004249715,0.0001520081721910621
PiE_second_shock,0.00058455437815819,6.1815667993642e-05,4.980280164527156e-06,2.757628814199292e-07
PiE_third_shock,0.044355897804306064,0.005123618462743476,0.0010537889715079545,4.8517670438453706e-05
r,2.7787751075783205,0.2727774583987099,0.05087518441219037,0.001720093798367961
dent,8.703884956762121e-07,8.680679799370067e-08,8.703853509048577e-07,8.680679799370067e-08
HJB_E,2.7372973551259254,0.22409849060279163,0.1829058241154003,0.010160125173466228
HJB_H,2.8465959448725218,0.21749049573605073,0.25939095343915863,0.01540468151502073
kappa_min,0.017860093811299996,0.0014661556470069552,0.0045387588737593725,0.00012638395129331613
